requested_folds,folds,k,mean_validation_accuracy,std_validation_accuracy,mean_validation_macro_f1,mean_validation_weighted_f1,fold_scores
3,3,1,0.9814814814814815,0.026189140043946214,0.9813519813519814,0.9813519813519814,"[0.9444444444444444, 1.0, 1.0]"
3,3,3,0.9814814814814815,0.026189140043946214,0.9813519813519814,0.9813519813519814,"[0.9444444444444444, 1.0, 1.0]"
3,3,5,0.9814814814814815,0.026189140043946214,0.9813519813519814,0.9813519813519814,"[0.9444444444444444, 1.0, 1.0]"
3,3,7,0.9592592592592593,0.02916299212596967,0.9589052922386255,0.9589052922386255,"[0.9444444444444444, 0.9333333333333333, 1.0]"
5,5,1,0.9777777777777779,0.04444444444444447,0.9771428571428572,0.9771428571428572,"[1.0, 1.0, 1.0, 0.8888888888888888, 1.0]"
5,5,3,0.9777777777777779,0.04444444444444447,0.9771428571428572,0.9771428571428572,"[1.0, 1.0, 1.0, 0.8888888888888888, 1.0]"
5,5,5,0.9777777777777779,0.04444444444444447,0.9771428571428572,0.9771428571428572,"[1.0, 1.0, 1.0, 0.8888888888888888, 1.0]"
5,5,7,0.9777777777777779,0.04444444444444447,0.9771428571428572,0.9771428571428572,"[1.0, 1.0, 1.0, 0.8888888888888888, 1.0]"
