requested_folds,folds,k,mean_validation_accuracy,std_validation_accuracy,mean_validation_macro_f1,mean_validation_weighted_f1,fold_scores
3,3,1,0.9949670316650945,0.0018846283930454239,0.9949614064039971,0.9949670669477296,"[0.995475113122172, 0.9969788519637462, 0.9924471299093656]"
3,3,3,0.9909418721396684,0.001226873232102959,0.9909308714749336,0.9909415474443793,"[0.9894419306184012, 0.9909365558912386, 0.9924471299093656]"
3,3,5,0.9924509272296725,5.370221878851452e-06,0.9924425775796296,0.9924510416551394,"[0.9924585218702866, 0.9924471299093656, 0.9924471299093656]"
3,3,7,0.9909418721396687,0.0021325250479117095,0.9909310823538586,0.9909416423775458,"[0.9894419306184012, 0.9894259818731118, 0.9939577039274925]"
3,3,9,0.991948162021025,0.00142097166873592,0.9919385363706218,0.9919479411304476,"[0.9909502262443439, 0.9909365558912386, 0.9939577039274925]"
3,3,11,0.9894305386574803,0.004448561760703588,0.9894180135136591,0.9894302398247833,"[0.9909502262443439, 0.9833836858006042, 0.9939577039274925]"
5,5,1,0.994462235611306,0.004331905699640512,0.9944555534884311,0.994461964571121,"[0.992462311557789, 1.0, 0.9974811083123426, 0.9949622166246851, 0.9874055415617129]"
5,5,3,0.9914408313608345,0.005873720616480414,0.9914299421148858,0.9914401110077027,"[0.9899497487437185, 1.0, 0.9949622166246851, 0.9899244332493703, 0.982367758186398]"
5,5,5,0.9914420971355519,0.00518672470331066,0.9914320426204881,0.9914417961809608,"[0.9899497487437185, 0.9974874371859297, 0.9974811083123426, 0.9874055415617129, 0.9848866498740554]"
5,5,7,0.9889232054478944,0.006872947381680819,0.9889106680074715,0.9889230004370562,"[0.9899497487437185, 0.9974874371859297, 0.9949622166246851, 0.982367758186398, 0.9798488664987406]"
5,5,9,0.9869080920977684,0.007370085221875895,0.9868951103753372,0.9869084288266695,"[0.9874371859296482, 1.0, 0.9848866498740554, 0.9848866498740554, 0.9773299748110831]"
5,5,11,0.9879169145475488,0.006830238600701256,0.9879012868156662,0.987915260120966,"[0.9849246231155779, 1.0, 0.9899244332493703, 0.9848866498740554, 0.9798488664987406]"
