requested_folds,folds,k,mean_validation_accuracy,std_validation_accuracy,fold_scores
3,3,1,0.9444444444444445,0.0785674201318386,"[0.8333333333333334, 1.0, 1.0]"
3,3,3,0.9722222222222222,0.039283710065919325,"[0.9166666666666666, 1.0, 1.0]"
3,3,5,0.9388888888888888,0.04374448818895451,"[0.9166666666666666, 0.9, 1.0]"
3,3,7,0.9388888888888888,0.04374448818895451,"[0.9166666666666666, 0.9, 1.0]"
5,5,1,0.9333333333333333,0.08164965809277258,"[1.0, 1.0, 1.0, 0.8333333333333334, 0.8333333333333334]"
5,5,3,0.9666666666666668,0.06666666666666665,"[1.0, 1.0, 1.0, 0.8333333333333334, 1.0]"
5,5,5,0.9333333333333333,0.08164965809277258,"[1.0, 1.0, 1.0, 0.8333333333333334, 0.8333333333333334]"
5,5,7,0.9666666666666668,0.06666666666666665,"[1.0, 1.0, 1.0, 0.8333333333333334, 1.0]"
